ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4
31446_00000_334803,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"LeBon, Barton S.",skipped,skipped,skipped
31446_00000_336036,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"LeBon, Barton S.","Dibert, Maxine L.","Nash, Kelly",skipped
31446_00000_337586,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"Dibert, Maxine L.",skipped,skipped,skipped
31446_00000_337714,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"LeBon, Barton S.","Nash, Kelly","Dibert, Maxine L.",skipped
31446_00000_338569,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"Dibert, Maxine L.","LeBon, Barton S.",skipped,skipped
31446_00000_339250,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"Dibert, Maxine L.","LeBon, Barton S.","Nash, Kelly",skipped
31446_00000_340723,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,skipped,"Nash, Kelly",skipped,skipped
31446_00000_341647,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"Dibert, Maxine L.","LeBon, Barton S.",skipped,skipped
31446_00000_342588,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"Nash, Kelly","LeBon, Barton S.","Dibert, Maxine L.",skipped
31446_00000_344466,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"Dibert, Maxine L.",skipped,skipped,skipped
31446_00000_346433,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"Nash, Kelly","LeBon, Barton S.",skipped,skipped
31446_00000_347119,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"Dibert, Maxine L.",skipped,skipped,skipped
31446_00000_348966,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"Nash, Kelly","LeBon, Barton S.","Dibert, Maxine L.",skipped
31446_00000_349055,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"Dibert, Maxine L.",skipped,skipped,skipped
31446_00000_350546,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"LeBon, Barton S.","Nash, Kelly",skipped,skipped
31446_00000_352559,Ballot 33 - Type 33,Election Day,Judicial District 4,Judicial,31-446 Aurora,31-446 Aurora,Region III,"Dibert, Maxine L.",skipped,skipped,skipped
