Precinct,rank1,rank2,rank3
MINNEAPOLIS W-3 P-10,skipped,skipped,skipped
MINNEAPOLIS W-3 P-10,skipped,skipped,skipped
MINNEAPOLIS W-3 P-10,skipped,skipped,skipped
MINNEAPOLIS W-3 P-10,skipped,skipped,skipped
MINNEAPOLIS W-3 P-10,skipped,skipped,skipped
MINNEAPOLIS W-3 P-10,skipped,skipped,skipped
MINNEAPOLIS W-3 P-10,skipped,skipped,skipped
MINNEAPOLIS W-3 P-10,skipped,skipped,skipped
MINNEAPOLIS W-3 P-10,skipped,skipped,skipped
MINNEAPOLIS W-3 P-10,skipped,skipped,skipped
MINNEAPOLIS W-3 P-10,skipped,skipped,skipped
MINNEAPOLIS W-3 P-10,skipped,skipped,skipped
MINNEAPOLIS W-3 P-10,skipped,skipped,skipped
MINNEAPOLIS W-3 P-10,skipped,skipped,skipped
MINNEAPOLIS W-3 P-10,skipped,skipped,skipped
MINNEAPOLIS W-3 P-10,skipped,skipped,skipped
MINNEAPOLIS W-3 P-10,skipped,skipped,skipped
MINNEAPOLIS W-3 P-10,skipped,skipped,skipped
MINNEAPOLIS W-3 P-10,skipped,skipped,skipped
MINNEAPOLIS W-3 P-10,skipped,skipped,skipped
MINNEAPOLIS W-3 P-10,skipped,skipped,skipped
MINNEAPOLIS W-3 P-10,skipped,skipped,skipped
MINNEAPOLIS W-3 P-10,skipped,skipped,skipped
MINNEAPOLIS W-3 P-10,skipped,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Michael Rainville,skipped,skipped
MINNEAPOLIS W-3 P-10,Steve Fletcher,Merv Moorhead,Hope Hennessey
MINNEAPOLIS W-3 P-10,Steve Fletcher,Merv Moorhead,Hope Hennessey
