,0,1,2,3,4,5,6,7,8,9,10,11,12
1,Write-In cells: 162,,,,,,,,,,,,
2,Overvote cells: 371,,,,,,,,,,,,
3,Bill Perkins: 0,,,,,,,,,,,,
4,William A. Allen: 1,,,,,,,,,,,,
5,Bernadette McNear: 2,,,,,,,,,,,,
6,Keith Taylor: 3,,,,,,,,,,,,
7,Athena Moore: 4,,,,,,,,,,,,
8,Billy Council: 5,,,,,,,,,,,,
9,Pierre A. Gooding: 6,,,,,,,,,,,,
10,Cordell Cleare: 7,,,,,,,,,,,,
11,Kristin Richardson Jordan: 8,,,,,,,,,,,,
12,Sheba T. Simpson-Amsterdam: 9,,,,,,,,,,,,
13,Ruth L. McDaniels: 10,,,,,,,,,,,,
14,Joshua Albert Clennon: 11,,,,,,,,,,,,
15,Mario Rosser: 12,,,,,,,,,,,,
17907,5,,,,,,,,,,,,
17908,0,5.0,10.0,2.0,8.0,,,,,,,,
17909,3,4.0,,,,,,,,,,,
17911,7,8.0,0.0,,,,,,,,,,
17912,4,7.0,0.0,8.0,6.0,,,,,,,,
17913,7,8.0,0.0,,,,,,,,,,
17914,12,4.0,1.0,6.0,3.0,,,,,,,,
17915,7,0.0,10.0,3.0,9.0,,,,,,,,
17916,3,7.0,,,,,,,,,,,
17917,7,0.0,4.0,6.0,1.0,,,,,,,,
17918,0,6.0,4.0,12.0,3.0,,,,,,,,
17919,0,7.0,,,,,,,,,,,
17921,7,6.0,4.0,,,,,,,,,,
17922,11,9.0,0.0,6.0,4.0,,,,,,,,
17923,0,10.0,7.0,1.0,8.0,,,,,,,,
17924,0,4.0,6.0,7.0,,,,,,,,,
17925,0,8.0,4.0,7.0,6.0,,,,,,,,
17926,7,0.0,4.0,5.0,3.0,,,,,,,,
17927,12,4.0,8.0,0.0,1.0,,,,,,,,
17928,7,,,,,,,,,,,,
17929,4,,,,,,,,,,,,
17930,4,7.0,6.0,8.0,2.0,,,,,,,,
17931,7,8.0,12.0,11.0,6.0,,,,,,,,
17932,0,12.0,,,,,,,,,,,
17953,3,,,,,,,,,,,,
17954,0,10.0,7.0,3.0,4.0,,,,,,,,
17955,0,3.0,,,,,,,,,,,
17956,1,6.0,4.0,2.0,0.0,,,,,,,,
17957,0,3.0,4.0,11.0,,,,,,,,,
17958,8,11.0,4.0,12.0,6.0,,,,,,,,
17959,8,12.0,1.0,11.0,4.0,,,,,,,,
17960,0,3.0,11.0,,,,,,,,,,
17961,6,3.0,7.0,4.0,11.0,,,,,,,,
17962,10,,,,,,,,,,,,
17963,10,4.0,,,,,,,,,,,
17965,1,4.0,,,,,,,,,,,
17966,3,8.0,7.0,4.0,9.0,,,,,,,,
17967,1,4.0,,,,,,,,,,,
17968,11,3.0,9.0,8.0,,,,,,,,,
17969,0,8.0,,,,,,,,,,,
17970,7,10.0,4.0,9.0,0.0,,,,,,,,
17971,8,4.0,6.0,0.0,11.0,,,,,,,,
17972,1,4.0,3.0,9.0,12.0,,,,,,,,
17973,1,4.0,,,,,,,,,,,
17974,4,7.0,1.0,5.0,12.0,,,,,,,,
17975,7,10.0,8.0,12.0,,,,,,,,,
17979,0,3.0,5.0,10.0,2.0,,,,,,,,
17980,12,11.0,8.0,4.0,7.0,,,,,,,,
17981,12,11.0,4.0,8.0,5.0,,,,,,,,
17982,8,11.0,4.0,12.0,5.0,,,,,,,,
17983,0,,,,,,,,,,,,
17984,4,3.0,8.0,7.0,0.0,,,,,,,,
17985,9,7.0,2.0,,,,,,,,,,
17986,3,,,,,,,,,,,,
17987,0,,,,,,,,,,,,
17988,0,4.0,7.0,8.0,,,,,,,,,
17989,10,,,,,,,,,,,,
17990,4,8.0,2.0,10.0,0.0,,,,,,,,
17991,8,2.0,10.0,9.0,4.0,,,,,,,,
17992,11,3.0,9.0,7.0,0.0,,,,,,,,
17993,0,11.0,9.0,3.0,4.0,,,,,,,,
17995,0,4.0,12.0,8.0,2.0,,,,,,,,
18052,5,,,,,,,,,,,,
18055,4,1.0,8.0,12.0,7.0,,,,,,,,
18056,4,8.0,12.0,1.0,7.0,,,,,,,,
18057,4,7.0,8.0,12.0,1.0,,,,,,,,
18058,0,4.0,8.0,2.0,10.0,,,,,,,,
18059,3,12.0,11.0,8.0,6.0,,,,,,,,
18060,4,7.0,11.0,,,,,,,,,,
18061,4,6.0,7.0,,,,,,,,,,
18063,8,,,,,,,,,,,,
18064,3,12.0,,,,,,,,,,,
18065,4,3.0,2.0,7.0,0.0,,,,,,,,
18066,3,12.0,,,,,,,,,,,
18067,3,6.0,9.0,,,,,,,,,,
18068,0,10.0,4.0,,,,,,,,,,
18069,8,,,,,,,,,,,,
18070,0,9.0,4.0,6.0,10.0,,,,,,,,
18071,0,3.0,2.0,6.0,9.0,,,,,,,,
18072,3,,,,,,,,,,,,
18204,8,7.0,3.0,9.0,4.0,,,,,,,,
18205,11,7.0,8.0,10.0,,,,,,,,,
18206,0,7.0,9.0,10.0,8.0,,,,,,,,
18207,0,,,,,,,,,,,,
18208,0,4.0,10.0,3.0,8.0,,,,,,,,
18209,8,11.0,4.0,3.0,,,,,,,,,
18210,8,,,,,,,,,,,,
18211,0,8.0,7.0,3.0,4.0,,,,,,,,
18212,7,4.0,11.0,,,,,,,,,,
18213,7,,,,,,,,,,,,
18214,0,8.0,6.0,9.0,4.0,,,,,,,,
18215,7,,,,,,,,,,,,
18216,10,7.0,4.0,11.0,8.0,,,,,,,,
18217,8,6.0,,,,,,,,,,,
18218,8,6.0,,,,,,,,,,,
18219,8,11.0,12.0,7.0,,,,,,,,,
18220,3,5.0,10.0,7.0,0.0,,,,,,,,
18221,4,7.0,3.0,12.0,1.0,,,,,,,,
18222,6,4.0,11.0,10.0,1.0,,,,,,,,
18223,8,,,,,,,,,,,,
18224,8,11.0,,,,,,,,,,,
18225,7,0.0,5.0,3.0,4.0,,,,,,,,
18226,12,8.0,11.0,,,,,,,,,,
18227,8,,,,,,,,,,,,
18228,12,8.0,11.0,,,,,,,,,,
18230,1,7.0,12.0,4.0,0.0,,,,,,,,
18231,1,0.0,9.0,,,,,,,,,,
18232,8,4.0,,,,,,,,,,,
18233,6,1.0,3.0,,,,,,,,,,
18234,1,5.0,12.0,3.0,10.0,,,,,,,,
18235,1,5.0,4.0,3.0,10.0,,,,,,,,
18236,4,9.0,2.0,10.0,0.0,,,,,,,,
18237,7,1.0,6.0,9.0,10.0,,,,,,,,
18238,8,11.0,,,,,,,,,,,
18239,3,0.0,,,,,,,,,,,
18240,3,0.0,,,,,,,,,,,
18241,5,,,,,,,,,,,,
18242,0,,,,,,,,,,,,
18243,5,6.0,,,,,,,,,,,
18244,0,3.0,9.0,5.0,1.0,,,,,,,,
18245,12,5.0,,,,,,,,,,,
18247,10,0.0,4.0,,,,,,,,,,
18248,3,12.0,,,,,,,,,,,
18249,2,10.0,12.0,4.0,8.0,,,,,,,,
18250,7,9.0,12.0,,,,,,,,,,
18251,0,1.0,,,,,,,,,,,
18252,1,5.0,12.0,3.0,10.0,,,,,,,,
18253,8,4.0,12.0,6.0,10.0,,,,,,,,
18254,0,,,,,,,,,,,,
18255,6,9.0,7.0,8.0,4.0,,,,,,,,
18256,0,10.0,2.0,4.0,9.0,,,,,,,,
18258,9,6.0,3.0,,,,,,,,,,
18259,0,7.0,2.0,10.0,8.0,,,,,,,,
18260,3,12.0,,,,,,,,,,,
18261,0,2.0,3.0,9.0,1.0,,,,,,,,
18262,12,4.0,3.0,,,,,,,,,,
18263,6,12.0,7.0,3.0,,,,,,,,,
18471,4,8.0,11.0,10.0,6.0,,,,,,,,
18472,8,10.0,9.0,3.0,7.0,,,,,,,,
18473,8,12.0,3.0,1.0,5.0,,,,,,,,
18474,8,9.0,4.0,7.0,3.0,,,,,,,,
18475,8,4.0,9.0,10.0,0.0,,,,,,,,
18476,1,8.0,7.0,4.0,6.0,,,,,,,,
18477,8,3.0,0.0,12.0,10.0,,,,,,,,
18478,8,0.0,7.0,,,,,,,,,,
18479,0,,,,,,,,,,,,
18481,4,3.0,9.0,8.0,11.0,,,,,,,,
18482,8,11.0,4.0,7.0,12.0,,,,,,,,
18483,8,12.0,11.0,,,,,,,,,,
18484,12,1.0,6.0,,,,,,,,,,
18485,4,7.0,3.0,9.0,11.0,,,,,,,,
18486,8,2.0,,,,,,,,,,,
18487,4,8.0,2.0,10.0,9.0,,,,,,,,
18488,4,7.0,3.0,10.0,,,,,,,,,
18489,12,9.0,11.0,,,,,,,,,,
18490,8,,,,,,,,,,,,
18492,0,11.0,,,,,,,,,,,
18493,4,0.0,,,,,,,,,,,
18494,3,,,,,,,,,,,,
18495,10,,,,,,,,,,,,
18496,0,1.0,2.0,10.0,,,,,,,,,
18497,8,12.0,9.0,6.0,,,,,,,,,
18498,3,4.0,8.0,7.0,2.0,,,,,,,,
18499,8,10.0,6.0,4.0,0.0,,,,,,,,
18500,0,,,,,,,,,,,,
18501,8,11.0,,,,,,,,,,,
18502,5,3.0,7.0,10.0,,,,,,,,,
18503,11,1.0,4.0,12.0,10.0,,,,,,,,
18504,0,8.0,3.0,10.0,4.0,,,,,,,,
18566,1,3.0,2.0,6.0,9.0,,,,,,,,
18567,6,8.0,9.0,12.0,2.0,,,,,,,,
18569,4,7.0,3.0,9.0,12.0,,,,,,,,
18570,3,4.0,7.0,1.0,6.0,,,,,,,,
18572,4,2.0,10.0,0.0,1.0,,,,,,,,
18573,4,11.0,8.0,3.0,1.0,,,,,,,,
18575,7,6.0,4.0,,,,,,,,,,
18576,3,,,,,,,,,,,,
18577,1,4.0,10.0,8.0,11.0,,,,,,,,
18578,7,,,,,,,,,,,,
18579,9,10.0,4.0,8.0,2.0,,,,,,,,
18580,8,1.0,3.0,7.0,11.0,,,,,,,,
18581,4,11.0,8.0,2.0,7.0,,,,,,,,
18582,8,4.0,7.0,3.0,12.0,,,,,,,,
18584,11,8.0,12.0,5.0,2.0,,,,,,,,
18585,0,,,,,,,,,,,,
18586,0,4.0,3.0,6.0,,,,,,,,,
18587,8,10.0,11.0,4.0,12.0,,,,,,,,
18588,7,4.0,12.0,,,,,,,,,,
18589,7,8.0,,,,,,,,,,,
18590,0,10.0,1.0,3.0,8.0,,,,,,,,
18591,4,7.0,5.0,,,,,,,,,,
18677,6,4.0,1.0,8.0,10.0,,,,,,,,
18678,4,7.0,8.0,3.0,5.0,,,,,,,,
18679,1,7.0,6.0,,,,,,,,,,
18680,7,8.0,1.0,12.0,,,,,,,,,
18681,1,12.0,7.0,4.0,3.0,,,,,,,,
18683,8,0.0,3.0,6.0,,,,,,,,,
18684,8,1.0,12.0,11.0,6.0,,,,,,,,
18685,8,7.0,12.0,,,,,,,,,,
18686,7,8.0,4.0,3.0,10.0,,,,,,,,
18687,8,10.0,3.0,6.0,5.0,,,,,,,,
18688,11,7.0,1.0,,,,,,,,,,
18689,4,1.0,3.0,2.0,6.0,,,,,,,,
18690,11,3.0,5.0,0.0,6.0,,,,,,,,
18691,0,,,,,,,,,,,,
18692,3,10.0,0.0,8.0,4.0,,,,,,,,
18693,5,12.0,9.0,,,,,,,,,,
18694,10,,,,,,,,,,,,
18695,5,12.0,9.0,,,,,,,,,,
18696,1,,,,,,,,,,,,
18697,3,4.0,7.0,,,,,,,,,,
18698,3,0.0,10.0,4.0,8.0,,,,,,,,
18699,0,4.0,10.0,2.0,8.0,,,,,,,,
18700,4,3.0,0.0,11.0,,,,,,,,,
18701,4,,,,,,,,,,,,
18702,4,,,,,,,,,,,,
18703,8,11.0,,,,,,,,,,,
18704,4,10.0,3.0,12.0,,,,,,,,,
18705,7,3.0,5.0,,,,,,,,,,
18706,8,,,,,,,,,,,,
18707,9,12.0,8.0,11.0,3.0,,,,,,,,
18708,2,12.0,0.0,,,,,,,,,,
18709,0,,,,,,,,,,,,
18710,2,1.0,6.0,10.0,3.0,,,,,,,,
18711,0,,,,,,,,,,,,
18712,3,4.0,8.0,1.0,10.0,,,,,,,,
18713,12,7.0,0.0,6.0,4.0,,,,,,,,
18714,1,9.0,,,,,,,,,,,
18715,4,12.0,9.0,3.0,2.0,,,,,,,,
18716,3,,,,,,,,,,,,
18717,0,2.0,,,,,,,,,,,
18718,6,,,,,,,,,,,,
