,0,1,2,3,4,5
1,Write-In cells: 317,,,,,
2,Overvote cells: 133,,,,,
3,Leslie Boghosian Murphy: 0,,,,,
4,Aleta A. LaFargue: 1,,,,,
5,Erik D. Bottcher: 2,,,,,
6,Phelan D. Fitzpatrick: 3,,,,,
7,Marni Halasa: 4,,,,,
8,Arthur Z. Schwartz: 5,,,,,
2859,4,5.0,3.0,2.0,0.0,
2860,5,2.0,,,,
2861,2,1.0,0.0,4.0,3.0,
2863,5,4.0,0.0,2.0,3.0,
2865,3,5.0,,,,
2866,5,3.0,2.0,,,
2871,2,5.0,1.0,3.0,4.0,
2872,2,,,,,
2873,2,,,,,
2874,2,0.0,3.0,,,
2875,2,,,,,
2876,0,5.0,3.0,1.0,4.0,
2877,0,1.0,2.0,,,
2878,5,2.0,4.0,3.0,0.0,
2879,4,,,,,
2881,0,,,,,
2882,2,,,,,
2883,2,5.0,3.0,,,
2884,2,5.0,3.0,,,
3042,5,4.0,1.0,3.0,0.0,
3043,5,4.0,1.0,3.0,0.0,
3045,2,,,,,
3046,2,5.0,4.0,,,
3047,0,5.0,4.0,2.0,,
3048,2,,,,,
3049,0,4.0,5.0,,,
3050,5,2.0,,,,
3051,2,0.0,,,,
3052,5,,,,,
3053,3,,,,,
3055,5,,,,,
3056,5,2.0,0.0,1.0,4.0,
3057,5,2.0,0.0,,,
3058,5,0.0,,,,
3059,5,0.0,,,,
3061,2,,,,,
3062,5,1.0,4.0,,,
3064,2,5.0,,,,
3065,5,,,,,
3066,5,2.0,0.0,4.0,3.0,
3067,2,0.0,5.0,3.0,,
3068,2,0.0,1.0,3.0,4.0,
3069,2,1.0,0.0,4.0,,
3070,1,2.0,,,,
3071,2,5.0,,,,
3072,0,2.0,,,,
3073,5,,,,,
3074,5,2.0,4.0,0.0,1.0,
3076,3,4.0,1.0,5.0,2.0,
3078,2,3.0,1.0,4.0,0.0,
3079,5,,,,,
3080,2,0.0,3.0,,,
3081,2,5.0,,,,
3082,2,1.0,5.0,3.0,,
3083,2,,,,,
3084,2,,,,,
3085,2,5.0,,,,
3086,5,,,,,
3087,3,,,,,
3088,5,,,,,
3089,2,3.0,,,,
3090,2,5.0,3.0,0.0,1.0,
3091,2,5.0,,,,
3092,5,,,,,
3093,3,,,,,
3094,5,,,,,
3095,4,1.0,,,,
3096,5,,,,,
3097,5,2.0,,,,
3098,2,5.0,1.0,3.0,,
3099,5,,,,,
3100,2,3.0,,,,
3101,2,3.0,,,,
3102,5,2.0,,,,
3104,2,5.0,,,,
3105,2,5.0,,,,
3106,5,,,,,
3108,5,,,,,
3109,2,5.0,,,,
3145,2,,,,,
3146,4,3.0,2.0,,,
3148,2,0.0,,,,
3150,3,1.0,4.0,,,
3152,3,5.0,,,,
3153,5,1.0,2.0,,,
3155,5,0.0,1.0,4.0,2.0,
3156,2,0.0,4.0,1.0,,
3157,4,3.0,2.0,,,
3158,0,2.0,,,,
3160,2,5.0,1.0,0.0,3.0,
3161,3,5.0,0.0,,,
3162,3,5.0,,,,
3163,2,5.0,4.0,0.0,1.0,
3354,1,4.0,0.0,,,
3467,2,,,,,
3468,3,1.0,4.0,2.0,0.0,
3469,5,1.0,3.0,0.0,4.0,
3470,0,5.0,1.0,3.0,,
3471,2,1.0,0.0,,,
3472,4,,,,,
3473,3,2.0,,,,
3474,2,3.0,0.0,5.0,1.0,
3475,0,,,,,
3476,2,,,,,
3477,0,3.0,1.0,,,
3478,2,3.0,0.0,,,
3479,2,5.0,1.0,0.0,4.0,
3647,2,,,,,
3648,2,3.0,,,,
3649,2,5.0,0.0,1.0,4.0,
3650,2,,,,,
3651,5,,,,,
3652,5,0.0,2.0,3.0,4.0,
3653,0,4.0,5.0,,,
3654,5,,,,,
3655,5,3.0,4.0,2.0,,
3656,2,,,,,
3657,5,2.0,4.0,,,
3658,5,,,,,
3659,5,,,,,
3660,2,0.0,1.0,,,
3661,5,,,,,
3662,5,,,,,
3663,2,,,,,
3664,4,1.0,2.0,5.0,0.0,
3666,2,3.0,4.0,1.0,,
3668,5,,,,,
3669,2,0.0,,,,
3670,2,0.0,4.0,3.0,1.0,
3671,2,,,,,
3672,4,5.0,0.0,2.0,1.0,
3673,5,4.0,2.0,,,
3675,0,2.0,1.0,3.0,5.0,
3676,5,,,,,
3677,2,,,,,
3678,2,0.0,,,,
3679,2,0.0,1.0,3.0,5.0,
3680,2,,,,,
3681,5,,,,,
3682,5,,,,,
3684,2,,,,,
3685,2,5.0,3.0,,,
3686,2,,,,,
3687,3,2.0,4.0,5.0,0.0,
3688,2,,,,,
3689,5,,,,,
3690,5,3.0,2.0,,,
3692,2,4.0,5.0,3.0,,
3693,2,,,,,
3694,2,,,,,
3695,2,0.0,,,,
3696,2,5.0,,,,
