,0,1,2,3,4,5
1,Write-In cells: 203,,,,,
2,Overvote cells: 365,,,,,
3,Pierina Ana Sanchez: 0,,,,,
4,Yudelka Tapia: 1,,,,,
5,Haile Rivera: 2,,,,,
6,Fernando A. Aquino: 3,,,,,
7,Adolfo Abreu: 4,,,,,
8,Socrates S. Solano: 5,,,,,
9956,0,3.0,5.0,2.0,4.0,
9958,4,1.0,0.0,2.0,3.0,
9960,0,4.0,1.0,5.0,3.0,
9962,0,3.0,1.0,2.0,4.0,
9964,4,0.0,5.0,1.0,3.0,
9966,0,1.0,2.0,4.0,3.0,
10504,1,5.0,4.0,3.0,0.0,
10506,4,5.0,,,,
10507,0,1.0,2.0,3.0,4.0,
10509,1,2.0,,,,
10511,1,4.0,0.0,3.0,,
10514,1,,,,,
10516,0,,,,,
10518,0,,,,,
10520,1,4.0,5.0,3.0,2.0,
10522,1,,,,,
10742,1,0.0,3.0,2.0,4.0,
10744,0,2.0,5.0,1.0,3.0,
10746,1,,,,,
10748,1,0.0,3.0,,,
10750,0,,,,,
10752,0,,,,,
11072,4,1.0,0.0,5.0,3.0,
11076,1,3.0,0.0,4.0,,
11078,0,,,,,
11597,0,2.0,3.0,4.0,5.0,
11765,1,0.0,,,,
11767,1,0.0,,,,
11769,4,2.0,1.0,0.0,3.0,
11773,1,,,,,
11918,0,,,,,
11920,0,4.0,1.0,5.0,,
11922,3,5.0,0.0,4.0,1.0,
11924,2,3.0,1.0,,,
11926,4,1.0,,,,
11928,4,0.0,,,,
11930,4,0.0,1.0,2.0,5.0,
11932,4,1.0,0.0,2.0,5.0,
12007,0,1.0,3.0,,,
12010,5,,,,,
12012,1,3.0,,,,
12013,0,1.0,4.0,5.0,3.0,
12016,0,3.0,5.0,4.0,2.0,
12057,0,1.0,,,,
12065,0,4.0,1.0,,,
12067,0,3.0,5.0,1.0,2.0,
12069,4,,,,,
12071,4,,,,,
12073,0,4.0,1.0,,,
12267,5,3.0,,,,
12270,3,4.0,2.0,1.0,0.0,
12271,0,4.0,1.0,5.0,3.0,
12274,0,3.0,2.0,5.0,1.0,
12275,0,3.0,2.0,5.0,1.0,
12278,1,0.0,3.0,2.0,5.0,
12280,4,0.0,5.0,1.0,2.0,
12281,0,,,,,
12283,0,1.0,4.0,,,
12286,2,,,,,
