ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3
95306_00003_000013,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,"Cooper, Jim","Hughes, Shelley",skipped
95306_00003_000014,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95306_00003_000015,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,"Hughes, Shelley",skipped,skipped
95306_00003_000016,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,"Hughes, Shelley",skipped,skipped
95306_00003_000017,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,"Hughes, Shelley",skipped,skipped
95306_00003_000018,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,"Hughes, Shelley",Write-in,skipped
95306_00003_000019,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,"Hughes, Shelley",skipped,skipped
95306_00004_000001,Ballot 27 - Type 27,Question,Judicial District 3,Judicial,District 26  - Question,District 26  - Question,Region V,"Hughes, Shelley",skipped,skipped
95306_00004_000002,Ballot 27 - Type 27,Question,Judicial District 3,Judicial,District 26  - Question,District 26  - Question,Region V,"Hughes, Shelley",skipped,skipped
95306_00004_000003,Ballot 27 - Type 27,Question,Judicial District 3,Judicial,District 26  - Question,District 26  - Question,Region V,"Hughes, Shelley","Hughes, Shelley","Hughes, Shelley"
95306_00004_000004,Ballot 27 - Type 27,Question,Judicial District 3,Judicial,District 26  - Question,District 26  - Question,Region V,"Hughes, Shelley","Hughes, Shelley","Hughes, Shelley"
95306_00004_000005,Ballot 27 - Type 27,Question,Judicial District 3,Judicial,District 26  - Question,District 26  - Question,Region V,"Hughes, Shelley","Cooper, Jim",skipped
95306_00004_000006,Ballot 27 - Type 27,Question,Judicial District 3,Judicial,District 26  - Question,District 26  - Question,Region V,"Hughes, Shelley",skipped,skipped
95306_00004_000007,Ballot 27 - Type 27,Question,Judicial District 3,Judicial,District 26  - Question,District 26  - Question,Region V,"Cooper, Jim","Hughes, Shelley",skipped
95306_00004_000008,Ballot 27 - Type 27,Question,Judicial District 3,Judicial,District 26  - Question,District 26  - Question,Region V,"Hughes, Shelley",skipped,skipped
95306_00004_000009,Ballot 27 - Type 27,Question,Judicial District 3,Judicial,District 26  - Question,District 26  - Question,Region V,"Cooper, Jim","Hughes, Shelley",skipped
95306_00004_000010,Ballot 27 - Type 27,Question,Judicial District 3,Judicial,District 26  - Question,District 26  - Question,Region V,"Hughes, Shelley",skipped,skipped
95303_00003_000001,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000002,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000003,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000004,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000005,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000006,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000007,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000008,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000009,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000010,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000011,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000012,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000013,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000014,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000015,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000016,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000017,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000018,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000019,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000020,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000021,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000022,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000023,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000024,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000025,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000026,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000027,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000028,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000029,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000030,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000031,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000032,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000033,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000034,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000035,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000036,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000037,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000038,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000039,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000040,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000041,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
95303_00003_000042,Ballot 26 - Type 26,Question,Judicial District 3,Judicial,District 25  - Question,District 25  - Question,Region V,skipped,skipped,skipped
