ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4
93200_00054_000060,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Matherly, Jim","Jafre, Alex N.",skipped,skipped
93200_00054_000061,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Matherly, Jim","Jafre, Alex N.",skipped,skipped
93200_00054_000062,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Matherly, Jim",skipped,skipped,skipped
93200_00054_000063,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Matherly, Jim",skipped,skipped,skipped
93200_00054_000064,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Matherly, Jim","Jafre, Alex N.","Kawasaki, Scott",skipped
93200_00054_000065,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000066,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott","Jafre, Alex N.","Matherly, Jim",skipped
93200_00054_000067,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott","Jafre, Alex N.","Matherly, Jim",skipped
93200_00054_000068,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott","Jafre, Alex N.","Matherly, Jim",skipped
93200_00054_000069,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Matherly, Jim",skipped,skipped,skipped
93200_00054_000070,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000071,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000072,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott","Matherly, Jim","Jafre, Alex N.",skipped
93200_00054_000073,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000074,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Matherly, Jim","Jafre, Alex N.",skipped,skipped
93200_00054_000075,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Matherly, Jim","Kawasaki, Scott","Jafre, Alex N.",skipped
93200_00054_000076,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Jafre, Alex N.",skipped,skipped,skipped
93200_00054_000077,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott","Matherly, Jim","Jafre, Alex N.",skipped
93200_00054_000078,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Matherly, Jim",skipped,skipped,skipped
93200_00054_000079,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Matherly, Jim",skipped,skipped,skipped
93200_00054_000080,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott","Matherly, Jim","Jafre, Alex N.",skipped
93200_00054_000081,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott","Jafre, Alex N.","Matherly, Jim",skipped
93200_00054_000082,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000083,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000084,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000085,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000086,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott","Matherly, Jim",skipped,skipped
93200_00054_000087,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Jafre, Alex N.",skipped,skipped,skipped
93200_00054_000088,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000089,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000090,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000091,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000092,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000093,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000094,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott","Jafre, Alex N.","Matherly, Jim",skipped
93200_00054_000095,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000096,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Matherly, Jim","Kawasaki, Scott","Jafre, Alex N.",skipped
93200_00054_000097,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott","Matherly, Jim",skipped,skipped
93200_00054_000098,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000099,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000100,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott","Jafre, Alex N.","Jafre, Alex N.",skipped
93200_00054_000101,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000102,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott","Jafre, Alex N.","Matherly, Jim",skipped
93200_00054_000103,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000104,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott","Matherly, Jim",skipped,skipped
