precincts,tally_type,ballotID,rank1,rank2,rank3
224800,Vote by Mail - 400C,000145235,NAYELI MAXSON,SHENG THAO,PAM HARRIS
224800,Vote by Mail - 400C,000145236,SHENG THAO,NAYELI MAXSON,PAM HARRIS
224800,Vote by Mail - 400C,000145237,SHENG THAO,SHENG THAO,CHARLIE MICHELSON
224800,Vote by Mail - 400C,000145238,skipped,skipped,skipped
224800,Vote by Mail - 400C,000145239,PAM HARRIS,NAYELI MAXSON,JOSEPH E. SIMMONS
224800,Vote by Mail - 400C,000145240,PAM HARRIS,skipped,skipped
224800,Vote by Mail - 400C,000145241,JOSEPH E. SIMMONS,JOSEPH E. SIMMONS,JOSEPH E. SIMMONS
224800,Vote by Mail - 400C,000145242,NAYELI MAXSON,SHENG THAO,PAM HARRIS
224800,Vote by Mail - 400C,000145243,PAM HARRIS,PAM HARRIS,skipped
224800,Vote by Mail - 400C,000145244,PAM HARRIS,skipped,skipped
224800,Vote by Mail - 400C,000145245,NAYELI MAXSON,PAM HARRIS,CHARLIE MICHELSON
224800,Vote by Mail - 400C,000145246,NAYELI MAXSON,PAM HARRIS,SHENG THAO
224800,Vote by Mail - 400C,000145247,NAYELI MAXSON,SHENG THAO,JOSEPH E. SIMMONS
224800,Vote by Mail - 400C,000145248,SHENG THAO,NAYELI MAXSON,PAM HARRIS
224800,Vote by Mail - 400C,000145249,MATT HUMMEL,skipped,skipped
224800,Vote by Mail - 400C,000145250,SHENG THAO,PAM HARRIS,skipped
224800,Vote by Mail - 400C,000145251,PAM HARRIS,CHARLIE MICHELSON,MATT HUMMEL
224800,Vote by Mail - 400C,000145252,SHENG THAO,PAM HARRIS,NAYELI MAXSON
224800,Vote by Mail - 400C,000145253,NAYELI MAXSON,JOSEPH E. SIMMONS,PAM HARRIS
224800,Vote by Mail - 400C,000145254,PAM HARRIS,NAYELI MAXSON,SHENG THAO
224800,Vote by Mail - 400C,000145255,SHENG THAO,NAYELI MAXSON,PAM HARRIS
224800,Vote by Mail - 400C,000145256,SHENG THAO,PAM HARRIS,CHARLIE MICHELSON
224800,Vote by Mail - 400C,000145257,SHENG THAO,NAYELI MAXSON,PAM HARRIS
224800,Vote by Mail - 400C,000145258,JOSEPH E. SIMMONS,PAM HARRIS,NAYELI MAXSON
244300,Vote by Mail - 400C,000145280,NAYELI MAXSON,PAM HARRIS,SHENG THAO
245200,Vote by Mail - 400C,000145281,SHENG THAO,NAYELI MAXSON,PAM HARRIS
245200,Vote by Mail - 400C,000145282,PAM HARRIS,skipped,skipped
245200,Vote by Mail - 400C,000145283,PAM HARRIS,skipped,skipped
245200,Vote by Mail - 400C,000145284,CHARLIE MICHELSON,SHENG THAO,MATT HUMMEL
245200,Vote by Mail - 400C,000145285,PAM HARRIS,JOSEPH E. SIMMONS,MATT HUMMEL
245200,Vote by Mail - 400C,000145286,PAM HARRIS,SHENG THAO,NAYELI MAXSON
245200,Vote by Mail - 400C,000145287,SHENG THAO,PAM HARRIS,MATT HUMMEL
245200,Vote by Mail - 400C,000145288,NAYELI MAXSON,SHENG THAO,skipped
245200,Vote by Mail - 400C,000145289,PAM HARRIS,MATT HUMMEL,CHARLIE MICHELSON
245200,Vote by Mail - 400C,000145290,SHENG THAO,PAM HARRIS,MATT HUMMEL
245200,Vote by Mail - 400C,000145291,PAM HARRIS,SHENG THAO,NAYELI MAXSON
245200,Vote by Mail - 400C,000145292,NAYELI MAXSON,SHENG THAO,CHARLIE MICHELSON
245200,Vote by Mail - 400C,000145293,PAM HARRIS,NAYELI MAXSON,MATT HUMMEL
245200,Vote by Mail - 400C,000145294,NAYELI MAXSON,SHENG THAO,NAYELI MAXSON
245200,Vote by Mail - 400C,000145295,NAYELI MAXSON,SHENG THAO,JOSEPH TANIOS
245200,Vote by Mail - 400C,000145296,SHENG THAO,SHENG THAO,SHENG THAO
245200,Vote by Mail - 400C,000145297,skipped,skipped,skipped
245200,Vote by Mail - 400C,000145298,CHARLIE MICHELSON,JOSEPH E. SIMMONS,skipped
245200,Vote by Mail - 400C,000145299,PAM HARRIS,SHENG THAO,NAYELI MAXSON
245200,Vote by Mail - 400C,000145300,CHARLIE MICHELSON,SHENG THAO,JOSEPH E. SIMMONS
245200,Vote by Mail - 400C,000145301,PAM HARRIS,PAM HARRIS,PAM HARRIS
344400,Vote by Mail - 400C,000145854,NAYELI MAXSON,SHENG THAO,skipped
344400,Vote by Mail - 400C,000145855,NAYELI MAXSON,CHARLIE MICHELSON,NAYELI MAXSON
344400,Vote by Mail - 400C,000145856,SHENG THAO,skipped,skipped
344400,Vote by Mail - 400C,000145857,SHENG THAO,skipped,skipped
344400,Vote by Mail - 400C,000145858,SHENG THAO,NAYELI MAXSON,JOSEPH E. SIMMONS
344400,Vote by Mail - 400C,000145859,SHENG THAO,PAM HARRIS,MATT HUMMEL
344400,Vote by Mail - 400C,000145860,CHARLIE MICHELSON,JOSEPH TANIOS,MATT HUMMEL
344400,Vote by Mail - 400C,000145861,NAYELI MAXSON,PAM HARRIS,SHENG THAO
344400,Vote by Mail - 400C,000145862,PAM HARRIS,SHENG THAO,NAYELI MAXSON
344400,Vote by Mail - 400C,000145863,SHENG THAO,PAM HARRIS,skipped
345700,Vote by Mail - 400C,000145864,SHENG THAO,PAM HARRIS,NAYELI MAXSON
345700,Vote by Mail - 400C,000145865,SHENG THAO,NAYELI MAXSON,PAM HARRIS
345700,Vote by Mail - 400C,000145866,PAM HARRIS,NAYELI MAXSON,MATT HUMMEL
345700,Vote by Mail - 400C,000145867,SHENG THAO,JOSEPH TANIOS,PAM HARRIS
345700,Vote by Mail - 400C,000145868,NAYELI MAXSON,CHARLIE MICHELSON,JOSEPH TANIOS
345700,Vote by Mail - 400C,000145869,SHENG THAO,skipped,skipped
345700,Vote by Mail - 400C,000145870,SHENG THAO,PAM HARRIS,NAYELI MAXSON
345700,Vote by Mail - 400C,000145871,SHENG THAO,skipped,skipped
345700,Vote by Mail - 400C,000145872,SHENG THAO,MATT HUMMEL,CHARLIE MICHELSON
345700,Vote by Mail - 400C,000145873,NAYELI MAXSON,SHENG THAO,PAM HARRIS
345700,Vote by Mail - 400C,000145874,PAM HARRIS,NAYELI MAXSON,SHENG THAO
345700,Vote by Mail - 400C,000145875,NAYELI MAXSON,SHENG THAO,CHARLIE MICHELSON
345700,Vote by Mail - 400C,000145876,PAM HARRIS,JOSEPH TANIOS,NAYELI MAXSON
345700,Vote by Mail - 400C,000145877,NAYELI MAXSON,PAM HARRIS,SHENG THAO
345700,Vote by Mail - 400C,000145878,NAYELI MAXSON,PAM HARRIS,SHENG THAO
345700,Vote by Mail - 400C,000145879,NAYELI MAXSON,PAM HARRIS,SHENG THAO
345700,Vote by Mail - 400C,000145880,CHARLIE MICHELSON,SHENG THAO,MATT HUMMEL
345700,Vote by Mail - 400C,000145881,PAM HARRIS,SHENG THAO,NAYELI MAXSON
345700,Vote by Mail - 400C,000145882,PAM HARRIS,SHENG THAO,NAYELI MAXSON
345700,Vote by Mail - 400C,000145883,NAYELI MAXSON,SHENG THAO,JOSEPH TANIOS
345700,Vote by Mail - 400C,000145884,NAYELI MAXSON,SHENG THAO,PAM HARRIS
345700,Vote by Mail - 400C,000145885,JOSEPH TANIOS,skipped,skipped
345700,Vote by Mail - 400C,000145886,SHENG THAO,NAYELI MAXSON,skipped
345700,Vote by Mail - 400C,000145887,MATT HUMMEL,JOSEPH TANIOS,PAM HARRIS
345700,Vote by Mail - 400C,000145888,NAYELI MAXSON,PAM HARRIS,SHENG THAO
345700,Vote by Mail - 400C,000145889,PAM HARRIS,NAYELI MAXSON,SHENG THAO
345700,Vote by Mail - 400C,000145890,SHENG THAO,NAYELI MAXSON,PAM HARRIS
345700,Vote by Mail - 400C,000145891,SHENG THAO,NAYELI MAXSON,PAM HARRIS
345700,Vote by Mail - 400C,000145892,PAM HARRIS,NAYELI MAXSON,SHENG THAO
345700,Vote by Mail - 400C,000145893,PAM HARRIS,SHENG THAO,skipped
345700,Vote by Mail - 400C,000145894,PAM HARRIS,NAYELI MAXSON,SHENG THAO
345700,Vote by Mail - 400C,000145895,NAYELI MAXSON,NAYELI MAXSON,NAYELI MAXSON
345700,Vote by Mail - 400C,000145896,NAYELI MAXSON,SHENG THAO,JOSEPH TANIOS
345700,Vote by Mail - 400C,000145897,SHENG THAO,PAM HARRIS,NAYELI MAXSON
345700,Vote by Mail - 400C,000145898,SHENG THAO,PAM HARRIS,NAYELI MAXSON
345700,Vote by Mail - 400C,000145899,SHENG THAO,NAYELI MAXSON,PAM HARRIS
345700,Vote by Mail - 400C,000145900,JOSEPH TANIOS,SHENG THAO,skipped
345700,Vote by Mail - 400C,000145901,SHENG THAO,NAYELI MAXSON,PAM HARRIS
345700,Vote by Mail - 400C,000145902,SHENG THAO,PAM HARRIS,CHARLIE MICHELSON
345700,Vote by Mail - 400C,000145903,SHENG THAO,PAM HARRIS,JOSEPH TANIOS
345700,Vote by Mail - 400C,000145904,SHENG THAO,PAM HARRIS,NAYELI MAXSON
345700,Vote by Mail - 400C,000145905,CHARLIE MICHELSON,SHENG THAO,NAYELI MAXSON
345700,Vote by Mail - 400C,000145906,PAM HARRIS,SHENG THAO,NAYELI MAXSON
345700,Vote by Mail - 400C,000145907,SHENG THAO,NAYELI MAXSON,PAM HARRIS
345700,Vote by Mail - 400C,000145908,NAYELI MAXSON,SHENG THAO,NAYELI MAXSON
345700,Vote by Mail - 400C,000145909,NAYELI MAXSON,CHARLIE MICHELSON,SHENG THAO
345700,Vote by Mail - 400C,000145910,SHENG THAO,PAM HARRIS,JOSEPH TANIOS
345700,Vote by Mail - 400C,000145911,PAM HARRIS,NAYELI MAXSON,SHENG THAO
345700,Vote by Mail - 400C,000145912,NAYELI MAXSON,SHENG THAO,PAM HARRIS
345700,Vote by Mail - 400C,000145913,NAYELI MAXSON,SHENG THAO,JOSEPH TANIOS
345700,Vote by Mail - 400C,000145914,SHENG THAO,JOSEPH TANIOS,skipped
345700,Vote by Mail - 400C,000145915,SHENG THAO,JOSEPH TANIOS,skipped
345700,Vote by Mail - 400C,000145916,CHARLIE MICHELSON,MATT HUMMEL,PAM HARRIS
345700,Vote by Mail - 400C,000145917,PAM HARRIS,NAYELI MAXSON,MATT HUMMEL
345700,Vote by Mail - 400C,000145918,SHENG THAO,NAYELI MAXSON,PAM HARRIS
345700,Vote by Mail - 400C,000145919,SHENG THAO,PAM HARRIS,skipped
345700,Vote by Mail - 400C,000145920,PAM HARRIS,NAYELI MAXSON,MATT HUMMEL
345700,Vote by Mail - 400C,000145921,SHENG THAO,CHARLIE MICHELSON,CHARLIE MICHELSON
345700,Vote by Mail - 400C,000145922,NAYELI MAXSON,skipped,skipped
345700,Vote by Mail - 400C,000145923,SHENG THAO,MATT HUMMEL,NAYELI MAXSON
345700,Vote by Mail - 400C,000145924,SHENG THAO,NAYELI MAXSON,PAM HARRIS
345700,Vote by Mail - 400C,000145925,SHENG THAO,PAM HARRIS,skipped
345700,Vote by Mail - 400C,000145926,SHENG THAO,PAM HARRIS,MATT HUMMEL
345700,Vote by Mail - 400C,000145927,SHENG THAO,NAYELI MAXSON,PAM HARRIS
345700,Vote by Mail - 400C,000145928,SHENG THAO,NAYELI MAXSON,PAM HARRIS
345700,Vote by Mail - 400C,000145929,SHENG THAO,skipped,skipped
345700,Vote by Mail - 400C,000145930,skipped,skipped,skipped
345700,Vote by Mail - 400C,000145931,JOSEPH E. SIMMONS,JOSEPH TANIOS,skipped
345700,Vote by Mail - 400C,000145932,SHENG THAO,NAYELI MAXSON,PAM HARRIS
345700,Vote by Mail - 400C,000145933,CHARLIE MICHELSON,CHARLIE MICHELSON,CHARLIE MICHELSON
