precinct,rank1,rank2,rank3
2001-01-09,Bernie Kunza,Liz Wielinski,John Malone
2001-01-09,Bernie Kunza,Liz Wielinski,John Malone
2001-01-09,Bernie Kunza,Liz Wielinski,John Malone
2001-01-09,Bernie Kunza,Liz Wielinski,John Malone
2001-01-09,Bernie Kunza,Liz Wielinski,John Malone
2001-01-09,Bernie Kunza,Liz Wielinski,John Malone
2001-01-09,Bernie Kunza,Liz Wielinski,John Malone
2001-01-09,Bernie Kunza,Liz Wielinski,John Malone
2001-01-09,Bernie Kunza,Liz Wielinski,John Malone
2001-01-09,Bernie Kunza,Liz Wielinski,John Malone
2001-01-09,Bernie Kunza,Liz Wielinski,John Malone
2001-01-09,Bernie Kunza,Liz Wielinski,John Malone
2001-01-09,Bernie Kunza,Liz Wielinski,John Malone
2001-01-09,Bernie Kunza,Liz Wielinski,John Malone
2001-01-09,Bernie Kunza,Liz Wielinski,John Malone
2001-01-09,Bernie Kunza,Liz Wielinski,John Malone
2001-01-09,Bernie Kunza,Liz Wielinski,John Malone
2001-01-09,Bernie Kunza,Liz Wielinski,John Malone
2001-01-09,Bernie Kunza,Liz Wielinski,John Malone
2001-01-10,Bernie Kunza,Liz Wielinski,John Malone
2001-01-10,Bernie Kunza,Liz Wielinski,John Malone
2001-01-10,Bernie Kunza,Liz Wielinski,John Malone
2001-01-10,Bernie Kunza,Liz Wielinski,John Malone
2001-01-10,Bernie Kunza,Liz Wielinski,John Malone
2001-02-03,Bernie Kunza,Liz Wielinski,John Malone
2001-02-03,Bernie Kunza,Liz Wielinski,John Malone
2001-02-03,Bernie Kunza,Liz Wielinski,John Malone
2001-02-03,Bernie Kunza,Liz Wielinski,John Malone
2001-02-03,Bernie Kunza,Liz Wielinski,John Malone
2001-02-03,Bernie Kunza,Liz Wielinski,John Malone
2001-02-03,Bernie Kunza,Liz Wielinski,John Malone
2001-02-05,Bernie Kunza,Liz Wielinski,John Malone
2001-02-06,Bernie Kunza,Liz Wielinski,John Malone
2001-02-06,Bernie Kunza,Liz Wielinski,John Malone
2001-03-01,Bernie Kunza,Liz Wielinski,John Malone
2001-03-02,Bernie Kunza,Liz Wielinski,John Malone
2001-03-02,Bernie Kunza,Liz Wielinski,John Malone
2001-03-03,Bernie Kunza,Liz Wielinski,John Malone
2001-03-03,Bernie Kunza,Liz Wielinski,John Malone
2001-03-03,Bernie Kunza,Liz Wielinski,John Malone
2001-03-03,Bernie Kunza,Liz Wielinski,John Malone
2001-03-03,Bernie Kunza,Liz Wielinski,John Malone
2001-03-03,Bernie Kunza,Liz Wielinski,John Malone
2001-03-03,Bernie Kunza,Liz Wielinski,John Malone
2001-03-03,Bernie Kunza,Liz Wielinski,John Malone
2001-03-04,Bernie Kunza,Liz Wielinski,John Malone
2001-03-04,Bernie Kunza,Liz Wielinski,John Malone
2001-03-04,Bernie Kunza,Liz Wielinski,John Malone
2001-03-04,Bernie Kunza,Liz Wielinski,John Malone
2001-03-04,Bernie Kunza,Liz Wielinski,John Malone
2001-03-04,Bernie Kunza,Liz Wielinski,John Malone
2001-03-04,Bernie Kunza,Liz Wielinski,John Malone
2001-03-05,Bernie Kunza,Liz Wielinski,John Malone
2001-03-05,Bernie Kunza,Liz Wielinski,John Malone
2001-03-05,Bernie Kunza,Liz Wielinski,John Malone
2001-03-06,Bernie Kunza,Liz Wielinski,John Malone
2001-03-06,Bernie Kunza,Liz Wielinski,John Malone
2001-03-06,Bernie Kunza,Liz Wielinski,John Malone
2001-03-06,Bernie Kunza,Liz Wielinski,John Malone
2001-03-06,Bernie Kunza,Liz Wielinski,John Malone
2001-03-06,Bernie Kunza,Liz Wielinski,John Malone
2001-03-06,Bernie Kunza,Liz Wielinski,John Malone
2001-03-06,Bernie Kunza,Liz Wielinski,John Malone
2001-03-06,Bernie Kunza,Liz Wielinski,John Malone
2001-03-06,Bernie Kunza,Liz Wielinski,John Malone
2001-03-06,Bernie Kunza,Liz Wielinski,John Malone
2001-03-06,Bernie Kunza,Liz Wielinski,John Malone
2001-03-06,Bernie Kunza,Liz Wielinski,John Malone
2001-03-06,Bernie Kunza,Liz Wielinski,John Malone
2001-03-06,Bernie Kunza,Liz Wielinski,John Malone
2001-03-06,Bernie Kunza,Liz Wielinski,John Malone
2001-03-06,Bernie Kunza,Liz Wielinski,John Malone
2001-03-06,Bernie Kunza,Liz Wielinski,John Malone
2001-01-01,Bernie Kunza,Liz Wielinski,skipped
2001-01-01,Bernie Kunza,Liz Wielinski,skipped
2001-01-01,Bernie Kunza,Liz Wielinski,skipped
2001-01-01,Bernie Kunza,Liz Wielinski,skipped
2001-01-01,Bernie Kunza,Liz Wielinski,skipped
2001-01-02,Bernie Kunza,Liz Wielinski,skipped
2001-01-02,Bernie Kunza,Liz Wielinski,skipped
2001-01-02,Bernie Kunza,Liz Wielinski,skipped
2001-01-02,Bernie Kunza,Liz Wielinski,skipped
2001-01-02,Bernie Kunza,Liz Wielinski,skipped
2001-01-02,Bernie Kunza,Liz Wielinski,skipped
2001-01-02,Bernie Kunza,Liz Wielinski,skipped
2001-01-02,Bernie Kunza,Liz Wielinski,skipped
2001-01-02,Bernie Kunza,Liz Wielinski,skipped
2001-01-02,Bernie Kunza,Liz Wielinski,skipped
2001-01-02,Bernie Kunza,Liz Wielinski,skipped
2001-01-02,Bernie Kunza,Liz Wielinski,skipped
2001-01-02,Bernie Kunza,Liz Wielinski,skipped
2001-01-02,Bernie Kunza,Liz Wielinski,skipped
2001-01-02,Bernie Kunza,Liz Wielinski,skipped
2001-01-02,Bernie Kunza,Liz Wielinski,skipped
2001-01-02,Bernie Kunza,Liz Wielinski,skipped
2001-01-02,Bernie Kunza,Liz Wielinski,skipped
2001-01-03,Bernie Kunza,Liz Wielinski,skipped
2001-01-03,Bernie Kunza,Liz Wielinski,skipped
2001-01-03,Bernie Kunza,Liz Wielinski,skipped
2001-01-03,Bernie Kunza,Liz Wielinski,skipped
2001-01-03,Bernie Kunza,Liz Wielinski,skipped
2001-01-03,Bernie Kunza,Liz Wielinski,skipped
2001-01-03,Bernie Kunza,Liz Wielinski,skipped
2001-01-03,Bernie Kunza,Liz Wielinski,skipped
2001-01-03,Bernie Kunza,Liz Wielinski,skipped
2001-01-03,Bernie Kunza,Liz Wielinski,skipped
2001-01-03,Bernie Kunza,Liz Wielinski,skipped
2001-01-03,Bernie Kunza,Liz Wielinski,skipped
2001-01-03,Bernie Kunza,Liz Wielinski,skipped
2001-01-04,Bernie Kunza,Liz Wielinski,skipped
2001-01-04,Bernie Kunza,Liz Wielinski,skipped
2001-01-04,Bernie Kunza,Liz Wielinski,skipped
2001-01-05,Bernie Kunza,Liz Wielinski,skipped
2001-01-05,Bernie Kunza,Liz Wielinski,skipped
2001-01-05,Bernie Kunza,Liz Wielinski,skipped
2001-01-05,Bernie Kunza,Liz Wielinski,skipped
2001-01-06,Bernie Kunza,Liz Wielinski,skipped
2001-01-06,Bernie Kunza,Liz Wielinski,skipped
2001-01-06,Bernie Kunza,Liz Wielinski,skipped
2001-01-06,Bernie Kunza,Liz Wielinski,skipped
2001-01-06,Bernie Kunza,Liz Wielinski,skipped
2001-01-06,Bernie Kunza,Liz Wielinski,skipped
2001-01-06,Bernie Kunza,Liz Wielinski,skipped
2001-01-06,Bernie Kunza,Liz Wielinski,skipped
2001-01-06,Bernie Kunza,Liz Wielinski,skipped
2001-01-06,Bernie Kunza,Liz Wielinski,skipped
2001-01-06,Bernie Kunza,Liz Wielinski,skipped
2001-01-06,Bernie Kunza,Liz Wielinski,skipped
2001-01-07,Bernie Kunza,Liz Wielinski,skipped
2001-01-07,Bernie Kunza,Liz Wielinski,skipped
2001-01-07,Bernie Kunza,Liz Wielinski,skipped
2001-01-08,Bernie Kunza,Liz Wielinski,skipped
2001-01-08,Bernie Kunza,Liz Wielinski,skipped
2001-01-08,Bernie Kunza,Liz Wielinski,skipped
2001-01-08,Bernie Kunza,Liz Wielinski,skipped
2001-01-08,Bernie Kunza,Liz Wielinski,skipped
2001-01-08,Bernie Kunza,Liz Wielinski,skipped
2001-01-09,Bernie Kunza,Liz Wielinski,skipped
2001-01-09,Bernie Kunza,Liz Wielinski,skipped
2001-01-09,Bernie Kunza,Liz Wielinski,skipped
2001-01-09,Bernie Kunza,Liz Wielinski,skipped
2001-01-09,Bernie Kunza,Liz Wielinski,skipped
2001-01-09,Bernie Kunza,Liz Wielinski,skipped
2001-01-09,Bernie Kunza,Liz Wielinski,skipped
2001-01-09,Bernie Kunza,Liz Wielinski,skipped
2001-01-09,Bernie Kunza,Liz Wielinski,skipped
2001-02-03,Bernie Kunza,Liz Wielinski,skipped
2001-02-03,Bernie Kunza,Liz Wielinski,skipped
2001-02-05,Bernie Kunza,Liz Wielinski,skipped
2001-03-02,Bernie Kunza,Liz Wielinski,skipped
2001-03-03,Bernie Kunza,Liz Wielinski,skipped
2001-03-03,Bernie Kunza,Liz Wielinski,skipped
2001-03-03,Bernie Kunza,Liz Wielinski,skipped
2001-03-03,Bernie Kunza,Liz Wielinski,skipped
2001-03-03,Bernie Kunza,Liz Wielinski,skipped
2001-03-03,Bernie Kunza,Liz Wielinski,skipped
2001-03-03,Bernie Kunza,Liz Wielinski,skipped
2001-03-03,Bernie Kunza,Liz Wielinski,skipped
2001-03-03,Bernie Kunza,Liz Wielinski,skipped
2001-03-04,Bernie Kunza,Liz Wielinski,skipped
2001-03-04,Bernie Kunza,Liz Wielinski,skipped
2001-03-04,Bernie Kunza,Liz Wielinski,skipped
2001-03-04,Bernie Kunza,Liz Wielinski,skipped
2001-03-05,Bernie Kunza,Liz Wielinski,skipped
2001-03-05,Bernie Kunza,Liz Wielinski,skipped
2001-03-05,Bernie Kunza,Liz Wielinski,skipped
2001-03-06,Bernie Kunza,Liz Wielinski,skipped
2001-03-06,Bernie Kunza,Liz Wielinski,skipped
2001-03-06,Bernie Kunza,Liz Wielinski,skipped
2001-03-06,Bernie Kunza,Liz Wielinski,skipped
2001-03-06,Bernie Kunza,Liz Wielinski,skipped
2001-03-06,Bernie Kunza,Liz Wielinski,skipped
2001-03-06,Bernie Kunza,Liz Wielinski,skipped
2001-03-06,Bernie Kunza,Liz Wielinski,skipped
2001-03-06,Bernie Kunza,Liz Wielinski,skipped
2001-03-06,Bernie Kunza,Liz Wielinski,skipped
2001-03-06,Bernie Kunza,Liz Wielinski,skipped
2001-01-01,Bernie Kunza,skipped,skipped
2001-01-01,Bernie Kunza,skipped,skipped
2001-01-01,Bernie Kunza,skipped,skipped
2001-01-01,Bernie Kunza,skipped,skipped
2001-01-01,Bernie Kunza,skipped,skipped
2001-01-01,Bernie Kunza,skipped,skipped
2001-01-01,Bernie Kunza,skipped,skipped
2001-01-01,Bernie Kunza,skipped,skipped
2001-01-01,Bernie Kunza,skipped,skipped
2001-01-01,Bernie Kunza,skipped,skipped
2001-01-01,Bernie Kunza,skipped,skipped
2001-01-01,Bernie Kunza,skipped,skipped
2001-01-02,Bernie Kunza,skipped,skipped
2001-01-02,Bernie Kunza,skipped,skipped
2001-01-02,Bernie Kunza,skipped,skipped
2001-01-02,Bernie Kunza,skipped,skipped
2001-01-02,Bernie Kunza,skipped,skipped
2001-01-02,Bernie Kunza,skipped,skipped
2001-01-02,Bernie Kunza,skipped,skipped
2001-01-02,Bernie Kunza,skipped,skipped
2001-01-02,Bernie Kunza,skipped,skipped
2001-01-02,Bernie Kunza,skipped,skipped
2001-01-02,Bernie Kunza,skipped,skipped
