,0,1,2,3,4,5,6
1,Write-In cells: 399,,,,,,
2,Overvote cells: 252,,,,,,
3,Renee T. Collymore: 0,,,,,,
4,Curtis M. Harris: 1,,,,,,
5,Michael Hollingsworth: 2,,,,,,
6,Deirdre M. Levy: 3,,,,,,
7,Crystal Hudson: 4,,,,,,
8,Hector Robertson: 5,,,,,,
9,Regina A. Kinsey: 6,,,,,,
6411,2,4.0,,,,,
6412,2,4.0,0.0,5.0,,,
6413,1,,,,,,
6414,2,4.0,,,,,
6730,2,4.0,,,,,
6731,0,4.0,6.0,3.0,1.0,,
6732,2,4.0,1.0,0.0,3.0,,
6733,0,6.0,4.0,3.0,1.0,,
6734,4,2.0,0.0,3.0,1.0,,
6735,0,,,,,,
6736,2,,,,,,
6738,6,1.0,,,,,
6739,2,4.0,5.0,,,,
6740,4,,,,,,
6741,2,,,,,,
6742,2,,,,,,
6743,0,2.0,4.0,,,,
6744,0,2.0,4.0,,,,
6745,6,0.0,1.0,,,,
6746,2,4.0,1.0,0.0,5.0,,
6747,4,0.0,2.0,5.0,6.0,,
6748,2,,,,,,
6749,4,,,,,,
6750,4,2.0,5.0,1.0,0.0,,
6751,1,5.0,0.0,3.0,2.0,,
6752,2,4.0,,,,,
6753,4,0.0,1.0,6.0,5.0,,
6754,2,6.0,4.0,5.0,0.0,,
6755,4,2.0,0.0,1.0,5.0,,
6756,2,1.0,4.0,5.0,0.0,,
6757,4,,,,,,
6758,2,,,,,,
6759,1,4.0,,,,,
6760,4,2.0,,,,,
6761,4,0.0,5.0,1.0,2.0,,
7410,4,2.0,,,,,
7411,0,4.0,6.0,3.0,2.0,,
7412,1,,,,,,
7413,4,2.0,0.0,3.0,6.0,,
7414,6,4.0,3.0,0.0,2.0,,
7415,4,3.0,6.0,0.0,2.0,,
7416,4,,,,,,
7417,4,5.0,0.0,1.0,,,
7418,4,5.0,0.0,1.0,,,
7419,3,6.0,4.0,0.0,5.0,,
7420,4,5.0,0.0,1.0,,,
7421,4,5.0,0.0,1.0,,,
7422,4,,,,,,
7423,2,,,,,,
7424,4,1.0,2.0,6.0,3.0,,
7426,4,1.0,2.0,6.0,3.0,,
7427,4,2.0,,,,,
7475,4,,,,,,
7476,4,2.0,,,,,
7477,4,,,,,,
7478,2,5.0,4.0,0.0,,,
7479,4,2.0,5.0,,,,
7480,4,2.0,,,,,
7481,1,3.0,2.0,6.0,0.0,,
7482,2,1.0,5.0,0.0,4.0,,
7483,4,6.0,0.0,2.0,1.0,,
7484,6,0.0,2.0,4.0,3.0,,
7485,4,6.0,0.0,,,,
7486,2,4.0,5.0,0.0,6.0,,
7487,4,,,,,,
7488,4,2.0,,,,,
7489,4,,,,,,
7490,0,,,,,,
7491,4,1.0,5.0,0.0,3.0,,
7492,4,0.0,,,,,
7493,4,2.0,6.0,0.0,1.0,,
7494,4,2.0,5.0,,,,
7495,4,2.0,5.0,,,,
7496,4,0.0,,,,,
7497,4,,,,,,
7498,4,2.0,1.0,0.0,3.0,,
7500,4,0.0,,,,,
7501,4,,,,,,
7502,2,4.0,,,,,
7720,2,4.0,0.0,3.0,5.0,,
7721,2,4.0,,,,,
7722,2,,,,,,
7723,2,4.0,0.0,,,,
7724,2,,,,,,
7725,2,,,,,,
7726,1,0.0,3.0,2.0,5.0,,
7727,2,4.0,3.0,,,,
7729,6,4.0,3.0,0.0,,,
7730,2,6.0,4.0,3.0,1.0,,
7732,2,4.0,0.0,3.0,5.0,,
7733,2,4.0,,,,,
7734,0,1.0,,,,,
8352,4,2.0,,,,,
8353,2,1.0,5.0,4.0,,,
8354,4,0.0,3.0,,,,
8355,2,0.0,,,,,
8356,0,2.0,1.0,6.0,5.0,,
8357,0,5.0,6.0,1.0,2.0,,
8358,2,4.0,3.0,,,,
8359,4,0.0,1.0,5.0,2.0,,
8360,2,0.0,4.0,,,,
8361,2,4.0,,,,,
8362,4,2.0,5.0,1.0,,,
8363,0,5.0,6.0,1.0,2.0,,
8364,2,,,,,,
8365,4,1.0,,,,,
8366,4,3.0,5.0,1.0,0.0,,
8367,0,5.0,6.0,1.0,2.0,,
8514,2,4.0,0.0,3.0,,,
8515,4,2.0,5.0,,,,
8516,2,,,,,,
8517,4,5.0,,,,,
8518,4,1.0,,,,,
8519,6,4.0,,,,,
8520,2,6.0,3.0,4.0,5.0,,
8522,6,4.0,,,,,
8524,2,4.0,,,,,
8525,4,3.0,2.0,,,,
8526,2,,,,,,
8527,6,,,,,,
8528,4,2.0,0.0,1.0,3.0,,
8530,0,1.0,2.0,,,,
8532,2,4.0,5.0,1.0,,,
8533,1,2.0,5.0,3.0,,,
8534,2,4.0,,,,,
8535,4,2.0,,,,,
8536,2,4.0,,,,,
8537,4,2.0,,,,,
8538,4,2.0,1.0,0.0,3.0,,
8539,2,,,,,,
8701,4,5.0,0.0,1.0,,,
8702,4,5.0,0.0,1.0,,,
8703,2,0.0,5.0,3.0,4.0,,
8704,4,2.0,5.0,1.0,,,
8705,4,5.0,0.0,1.0,,,
8706,0,,,,,,
8707,0,,,,,,
8708,4,3.0,1.0,0.0,5.0,,
8709,4,,,,,,
8710,4,,,,,,
8711,4,5.0,0.0,1.0,,,
8712,1,,,,,,
8713,0,4.0,2.0,1.0,3.0,,
8714,4,,,,,,
8715,1,,,,,,
8716,4,,,,,,
8717,4,5.0,0.0,1.0,,,
8718,2,4.0,,,,,
8719,4,,,,,,
8720,4,5.0,0.0,1.0,,,
8721,0,6.0,4.0,,,,
8722,0,,,,,,
8723,6,3.0,0.0,,,,
8724,0,,,,,,
9093,2,4.0,5.0,1.0,6.0,,
9094,4,5.0,0.0,1.0,,,
9095,4,5.0,0.0,1.0,,,
9096,3,6.0,4.0,1.0,,,
9097,3,2.0,4.0,5.0,6.0,,
9098,4,1.0,5.0,0.0,,,
9390,2,,,,,,
9391,4,,,,,,
9393,2,,,,,,
9394,2,,,,,,
9395,2,,,,,,
9396,2,,,,,,
9397,5,,,,,,
9398,2,4.0,,,,,
9399,6,4.0,3.0,1.0,0.0,,
9400,6,1.0,4.0,2.0,5.0,,
9402,2,0.0,4.0,,,,
9403,2,0.0,4.0,,,,
9404,1,4.0,3.0,6.0,0.0,,
9405,2,4.0,5.0,,,,
9406,2,4.0,0.0,1.0,6.0,,
9407,1,4.0,3.0,,,,
9408,6,0.0,,,,,
10058,4,5.0,0.0,1.0,,,
10059,2,0.0,1.0,,,,
10060,3,1.0,,,,,
10062,4,5.0,0.0,1.0,,,
10063,2,1.0,3.0,4.0,0.0,,
10064,2,1.0,3.0,5.0,0.0,,
10065,4,,,,,,
10066,4,5.0,0.0,1.0,,,
10068,2,4.0,,,,,
10069,4,5.0,0.0,1.0,,,
10070,2,1.0,,,,,
10071,4,5.0,0.0,1.0,,,
10072,4,2.0,,,,,
10073,2,3.0,5.0,,,,
10074,4,0.0,1.0,2.0,,,
10075,3,4.0,5.0,0.0,2.0,,
10076,4,5.0,0.0,1.0,,,
10077,4,5.0,0.0,1.0,,,
10111,3,1.0,2.0,,,,
10272,1,5.0,2.0,3.0,4.0,,
10273,4,,,,,,
10274,0,,,,,,
10275,4,5.0,0.0,1.0,,,
10276,4,5.0,0.0,1.0,,,
10277,4,5.0,0.0,1.0,,,
10278,4,,,,,,
10279,4,,,,,,
10280,4,5.0,0.0,1.0,,,
10281,4,6.0,5.0,,,,
10282,4,5.0,0.0,1.0,,,
10283,6,0.0,4.0,,,,
10284,4,3.0,0.0,6.0,2.0,,
10286,0,3.0,4.0,2.0,5.0,,
10287,4,5.0,0.0,1.0,,,
10288,4,5.0,0.0,,,,
10289,4,5.0,0.0,1.0,,,
10290,4,5.0,0.0,1.0,,,
10291,1,4.0,2.0,,,,
10639,2,4.0,,,,,
10640,1,4.0,5.0,3.0,6.0,,
10641,2,4.0,,,,,
