,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,Write-In cells: 137,,,,,,,,,,,,,,
2,Overvote cells: 256,,,,,,,,,,,,,,
3,Steven B. Raga: 0,,,,,,,,,,,,,,
4,Ebony R. Young: 1,,,,,,,,,,,,,,
5,Julie Won: 2,,,,,,,,,,,,,,
6,Denise M. Keehan-Smith: 3,,,,,,,,,,,,,,
7,Badrun Khan: 4,,,,,,,,,,,,,,
8,Glennis E. Gomez: 5,,,,,,,,,,,,,,
9,Brent O'Leary: 6,,,,,,,,,,,,,,
10,Emily E. Sharpe: 7,,,,,,,,,,,,,,
11,Julia L. Forman: 8,,,,,,,,,,,,,,
12,Amit S. Bagga: 9,,,,,,,,,,,,,,
13,Sultan Al Maruf: 10,,,,,,,,,,,,,,
14,Hailie Kim: 11,,,,,,,,,,,,,,
15,Jesse Laymon: 12,,,,,,,,,,,,,,
16,Jonathan Bailey: 13,,,,,,,,,,,,,,
17,Lorenzo Brea: 14,,,,,,,,,,,,,,
28105,6,,,,,,,,,,,,,,
28107,2,11.0,1.0,,,,,,,,,,,,
28109,0,3.0,,,,,,,,,,,,,
28111,4,6.0,11.0,,,,,,,,,,,,
28113,2,11.0,9.0,12.0,13.0,,,,,,,,,,
28114,9,2.0,8.0,,,,,,,,,,,,
28621,3,8.0,7.0,6.0,2.0,,,,,,,,,,
28623,9,6.0,11.0,,,,,,,,,,,,
28624,13,9.0,11.0,12.0,14.0,,,,,,,,,,
28626,3,6.0,13.0,,,,,,,,,,,,
28628,9,2.0,13.0,11.0,12.0,,,,,,,,,,
28632,8,2.0,6.0,0.0,13.0,,,,,,,,,,
28634,4,10.0,9.0,3.0,6.0,,,,,,,,,,
28636,3,,,,,,,,,,,,,,
28638,2,9.0,11.0,6.0,12.0,,,,,,,,,,
28640,3,2.0,7.0,12.0,8.0,,,,,,,,,,
28642,3,9.0,6.0,7.0,2.0,,,,,,,,,,
28645,10,11.0,2.0,,,,,,,,,,,,
28738,2,,,,,,,,,,,,,,
28740,2,1.0,,,,,,,,,,,,,
28742,6,4.0,2.0,1.0,11.0,,,,,,,,,,
28744,7,11.0,2.0,,,,,,,,,,,,
28746,6,,,,,,,,,,,,,,
28748,6,,,,,,,,,,,,,,
