,0,1,2,3,4,5,6,7,8,9,10,11
1,Write-In cells: 254,,,,,,,,,,,
2,Overvote cells: 231,,,,,,,,,,,
3,Luis Tejada: 0,,,,,,,,,,,
4,Carmen R. Quinones: 1,,,,,,,,,,,
5,Stacy R. Lynch: 2,,,,,,,,,,,
6,Keith L. Harris: 3,,,,,,,,,,,
7,Maria Ordonez: 4,,,,,,,,,,,
8,Daniel M. Cohen: 5,,,,,,,,,,,
9,Raymond Sanchez Jr.: 6,,,,,,,,,,,
10,Miguel Estrella: 7,,,,,,,,,,,
11,Corey Ortega: 8,,,,,,,,,,,
12,Shaun Abreu: 9,,,,,,,,,,,
13,Lena Melendez: 10,,,,,,,,,,,
14,Marti Gould  Allen-Cummings: 11,,,,,,,,,,,
16721,4,9.0,11.0,5.0,,,,,,,,
16722,11,2.0,4.0,5.0,9.0,,,,,,,
16723,5,0.0,11.0,8.0,4.0,,,,,,,
16724,5,6.0,11.0,9.0,,,,,,,,
16725,9,8.0,11.0,4.0,10.0,,,,,,,
16726,8,2.0,11.0,9.0,,,,,,,,
16727,0,,,,,,,,,,,
16728,0,,,,,,,,,,,
16729,0,,,,,,,,,,,
16730,3,10.0,,,,,,,,,,
16731,9,1.0,11.0,10.0,3.0,,,,,,,
16732,9,4.0,,,,,,,,,,
16733,8,2.0,11.0,,,,,,,,,
16734,8,2.0,11.0,4.0,,,,,,,,
16735,0,,,,,,,,,,,
16747,8,2.0,6.0,9.0,4.0,,,,,,,
16748,9,4.0,2.0,10.0,1.0,,,,,,,
16749,9,0.0,8.0,2.0,3.0,,,,,,,
16750,4,11.0,5.0,2.0,8.0,,,,,,,
16751,0,,,,,,,,,,,
16752,11,9.0,4.0,10.0,2.0,,,,,,,
16753,10,4.0,,,,,,,,,,
16754,9,,,,,,,,,,,
16755,9,8.0,4.0,7.0,0.0,,,,,,,
16756,9,5.0,4.0,10.0,2.0,,,,,,,
16770,3,2.0,5.0,9.0,1.0,,,,,,,
16771,5,,,,,,,,,,,
16772,9,,,,,,,,,,,
16773,5,,,,,,,,,,,
16774,9,11.0,5.0,,,,,,,,,
16775,2,9.0,,,,,,,,,,
16776,0,,,,,,,,,,,
16778,4,1.0,11.0,,,,,,,,,
16779,4,,,,,,,,,,,
16780,4,2.0,5.0,11.0,,,,,,,,
16781,8,10.0,,,,,,,,,,
16782,8,1.0,,,,,,,,,,
16783,4,11.0,,,,,,,,,,
16784,5,,,,,,,,,,,
16785,2,9.0,,,,,,,,,,
16786,8,,,,,,,,,,,
16787,9,,,,,,,,,,,
16788,5,9.0,11.0,4.0,0.0,,,,,,,
16789,9,5.0,4.0,8.0,,,,,,,,
16790,5,,,,,,,,,,,
16834,9,5.0,6.0,4.0,8.0,,,,,,,
16836,4,11.0,,,,,,,,,,
16837,4,11.0,,,,,,,,,,
16838,2,,,,,,,,,,,
16839,11,8.0,9.0,,,,,,,,,
16840,4,7.0,1.0,3.0,2.0,,,,,,,
16841,11,4.0,9.0,8.0,5.0,,,,,,,
16842,4,11.0,,,,,,,,,,
16843,0,,,,,,,,,,,
16844,0,,,,,,,,,,,
16845,0,,,,,,,,,,,
16846,0,,,,,,,,,,,
16847,0,9.0,,,,,,,,,,
16848,0,,,,,,,,,,,
16849,0,9.0,,,,,,,,,,
16850,0,9.0,2.0,10.0,4.0,,,,,,,
16851,11,0.0,4.0,2.0,,,,,,,,
16852,2,11.0,8.0,4.0,6.0,,,,,,,
16853,9,2.0,4.0,1.0,3.0,,,,,,,
16854,0,,,,,,,,,,,
16855,0,,,,,,,,,,,
16856,0,9.0,,,,,,,,,,
16857,0,,,,,,,,,,,
16858,0,,,,,,,,,,,
16859,0,,,,,,,,,,,
16860,0,,,,,,,,,,,
16861,0,9.0,,,,,,,,,,
16862,0,,,,,,,,,,,
16863,0,9.0,,,,,,,,,,
16864,0,,,,,,,,,,,
16865,0,,,,,,,,,,,
16866,0,,,,,,,,,,,
16867,0,,,,,,,,,,,
16868,0,,,,,,,,,,,
16869,0,,,,,,,,,,,
16870,0,,,,,,,,,,,
16871,0,,,,,,,,,,,
16872,0,,,,,,,,,,,
16873,0,,,,,,,,,,,
16874,0,,,,,,,,,,,
16875,0,,,,,,,,,,,
16876,0,9.0,,,,,,,,,,
16877,0,,,,,,,,,,,
16878,0,,,,,,,,,,,
16879,5,8.0,7.0,,,,,,,,,
16880,0,,,,,,,,,,,
16881,0,,,,,,,,,,,
16882,0,,,,,,,,,,,
16883,0,9.0,,,,,,,,,,
16884,0,,,,,,,,,,,
16885,0,,,,,,,,,,,
16886,0,,,,,,,,,,,
16887,0,,,,,,,,,,,
16888,0,,,,,,,,,,,
16889,0,,,,,,,,,,,
16890,0,,,,,,,,,,,
16891,9,,,,,,,,,,,
16892,9,5.0,4.0,10.0,2.0,,,,,,,
16893,0,,,,,,,,,,,
16894,9,5.0,11.0,2.0,3.0,,,,,,,
16895,9,2.0,11.0,10.0,4.0,,,,,,,
